"Win Rate","K:D","GPM","GDM","Game Duration","Kills/Game","Deaths/Game","Towers Killed","Towers Lost","FB%","FT%","DRAPG","DRA%","HERPG","Her%","DRA@15","TD@15","GD@15","NASHPG","NASH%","CSM","DPM","WPM","VWPM","WCPM"
0.45,0.85,1.779,-14,30.25,13.9,16.5,5.5,6.0,54.5,72.7,2.64,56.7,1.18,63.6,1.00,0.2,-0.03,0.55,50.0,31.2,1.943,2.7,0.91,1.01
0.88,1.98,1.927,355,27.583333333333332,17.8,9.0,7.9,2.4,66.7,66.7,3.00,71.1,1.33,72.2,1.11,1.4,2.412,0.89,77.8,31.6,1.985,2.4,0.91,0.95
0.87,1.65,1.863,241,31.716666666666665,17.5,10.3,6.9,3.5,37.5,50.0,2.38,51.0,1.63,81.3,0.50,0.6,1.366,0.50,50.0,32.3,2.087,3.2,1.26,1.81
0.4,0.93,1.709,-67,31.233333333333334,11.9,12.8,4.2,6.5,60.0,40.0,2.30,52.5,1.00,55.0,1.00,0.1,0.78,0.30,33.3,31.8,1.87,3.0,1.26,1.08
0.53,1.08,1.796,5,30.083333333333332,13.5,12.4,6.2,5.7,38.5,38.5,2.00,47.2,1.00,53.8,0.69,-0.2,-0.55,0.92,61.5,31.4,1.742,2.9,1.37,1.35
0.55,1.47,1.779,89,33.2,12.6,8.6,6.1,5.3,44.4,44.4,2.44,49.6,0.89,50.0,1.11,-0.1,-0.373,1.00,77.8,32.7,1.742,2.9,1.13,1.33
0.4,0.66,1.707,-120,29.6,8.3,12.6,4.2,6.3,30.0,40.0,0.90,19.0,0.90,45.0,0.30,-0.2,-1.006,0.30,30.0,34.1,1.472,3.6,1.42,1.36
0.25,0.55,1.637,-194,34.31666666666667,9.0,16.5,3.3,8.0,75.0,50.0,2.50,45.8,0.50,25.0,1.25,-1.5,-0.014,0.25,12.5,31.6,1.554,3.2,1.19,1.35
0.53,0.93,1.771,-16,33.53333333333333,10.9,11.8,6.5,5.9,42.9,39.3,2.07,38.9,0.68,33.9,0.43,-0.2,-0.706,0.82,58.9,34.1,1.856,3.8,1.34,1.83
0.5,1.06,1.86,81,33.43333333333333,14.5,13.7,5.4,6.0,60.0,30.0,2.30,49.6,1.10,55.0,0.60,-0.2,0.678,0.80,57.4,34.7,1.673,3.4,1.18,1.89
0.3,0.79,1.67,-183,34.416666666666664,15.0,19.0,3.8,7.8,50.0,20.0,2.10,38.8,0.90,45.0,1.10,-1.3,-1.964,0.50,40.0,29.1,1.991,3.1,1.04,1.06
0.75,1.24,1.905,193,34.55,14.6,11.8,8.3,4.4,29.2,62.5,3.13,65.1,1.29,66.7,0.79,0.3,1.193,1.33,79.9,34.7,2.156,3.9,1.55,1.95
0.44,0.79,1.731,-72,30.866666666666667,12.2,15.4,4.8,5.7,44.4,44.4,2.11,47.0,0.78,44.4,0.67,-0.1,-0.411,0.78,44.4,32.2,1.682,2.9,1.05,1.12
0.75,1.28,1.792,120,34.61666666666667,15.6,12.3,8.6,5.3,25.0,75.0,3.13,59.8,0.88,43.8,1.25,0.3,-0.808,0.88,68.8,30.0,2.188,3.1,1.08,1.01
0.3,0.69,1.624,-228,30.733333333333334,10.0,14.5,3.9,7.8,46.2,23.1,1.62,34.7,0.69,38.5,0.92,-0.8,-2.022,0.38,25.0,30.1,1.663,2.7,1.03,1.22
