For The Win Esports	S11	PT	8	37.5%	0.90	1750	11	31:59	13.0	14.5	5.5	5.9	25.0	50.0	2.50	52.7	1.13	56.3	0.88	0.4	1319	0.88	54.2	30.5	1784	2.9	1.18	1.18
Fredit BRION	S11	KR	22	31.8%	0.72	1682	-189	33:46	9.2	12.7	4.0	7.8	50.0	13.6	2.27	45.3	0.50	25.0	0.95	-0.9	-1450	0.50	30.3	33.5	1643	4.1	1.59	1.94
Funplus Phoenix	S11	CN	19	78.9%	1.50	1978	249	29:44	16.5	10.9	7.6	3.3	63.2	63.2	2.32	56.6	1.21	60.5	0.68	0.3	1472	1.00	76.3	35.0	2203	3.3	1.35	1.50
FURIA Academy	S11	BR	10	60.0%	1.16	1801	107	33:53	15.3	13.2	6.6	5.6	40.0	60.0	3.00	59.2	0.80	40.0	0.90	0.3	709	1.00	70.0	31.7	2142	3.2	1.32	1.46
FURIA Esports	S11	BR	12	16.7%	0.51	1655	-234	31:34	8.8	17.3	4.0	8.2	33.3	25.0	1.58	32.9	0.92	45.8	0.75	-0.3	-1587	0.58	39.4	32.0	1701	3.2	1.28	1.30
Furious Gaming	S11	LAT	8	62.5%	1.36	1800	118	36:15	17.6	13.0	7.9	5.3	75.0	50.0	3.25	59.9	1.25	62.5	0.63	0.0	-132	0.75	58.3	31.9	2030	3.9	1.52	1.55
G2 Arctic	S11	ES	12	66.7%	1.02	1850	141	34:14	13.3	13.1	7.8	4.9	41.7	75.0	2.67	56.1	1.25	62.5	1.17	0.7	301	1.17	65.3	33.7	1888	3.6	1.61	1.43
G2 Esports	S11	EUW	11	81.8%	1.46	1916	213	35:32	19.3	13.2	8.5	3.9	36.4	54.5	3.91	75.4	1.09	54.5	0.91	0.3	896	1.09	65.9	33.5	2355	3.4	1.21	1.44
Galakticos	S11	TR	10	20.0%	0.50	1573	-286	30:55	7.7	15.5	3.2	8.2	40.0	30.0	1.70	33.8	0.80	40.0	0.80	-0.6	-1886	0.20	15.0	30.2	1274	2.9	1.43	1.02
Galatasaray Esports	S11	TR	10	60.0%	1.42	1814	173	33:45	13.6	9.6	7.1	4.4	60.0	80.0	2.30	45.6	1.30	65.0	0.90	0.5	1835	0.80	66.7	33.0	1675	3.1	1.30	1.50
